property	entity
instances	Q500724 [Margherita Pizza]
instances	Q500445 [Neapolitan pizza]
instances	Q56922570 [ESICM LIVES 2016: part one]
instances	Q839466 [Domino's Pizza]
instances	Q15141431 [Sicilian pizza]
instances	Q18542598 [quattro stagioni]
instances	Q47392904 [Influence of the addition of soy product and wheat fiber on rheological, textural, and other quality characteristics of pizza.]
instances	Q18388803 [pizza capricciosa]
instances	Q5269993 [DiGiorno]
P495 [country of origin]	Q2634 [Naples]
P495 [country of origin]	Q38 [Italy]
P495 [country of origin]	Q1438 [Campania]
P7084 [related category]	Q192786 [Italian cuisine]
P7084 [related category]	Q7037902 [Category:Italian inventions]
P7084 [related category]	Q8035527 [World Class Cuisine]
P7084 [related category]	Q7264522 [Category:Mediterranean cuisine]
P7084 [related category]	Q6900741 [Category:Greek inventions]
P7084 [related category]	Q177 [pizza]
P7084 [related category]	Q131265 [popular culture]
P7084 [related category]	Q24890224 [Category:Flatbread dishes]
P7084 [related category]	Q8557585 [Category:Italian-American cuisine]
P7084 [related category]	Q3699131 [Italian American cuisine]
P7084 [related category]	Q934309 [Mediterranean cuisine]
P7084 [related category]	Q10051791 [Category:National dishes]
P7084 [related category]	Q6574906 [list of Italian inventions]
compound words	Q500724 [Margherita Pizza]
compound words	Q500445 [Neapolitan pizza]
compound words	Q590076 [Hawaiian pizza]
compound words	Q4381789 [Pizza cheese]
compound words	Q356125 [pizza delivery]
compound words	Q66798892 [Tippy's Pizza]
compound words	Q3844992 [New York-style pizza]
compound words	Q18391606 [National Pizza Month]
compound words	Q7199988 [pizza bum]
compound words	Q54952472 [pizza puff]
compound words	Q839466 [Domino's Pizza]
compound words	Q20006920 [Pizzaiolo]
compound words	Q7199978 [Pizza Ranch]
compound words	Q1194143 [Pizza Pizza]
compound words	Q6134929 [Shakey's Pizza]
compound words	Q28940556 [Pizza Station]
compound words	pizzerias
compound words	frozen pizzas
compound words	pizzeria
P31 [instance of]	Q5465423 [Food and Drink]
P31 [instance of]	Q1778821 [cuisine]
variants	Q3500519 [stromboli]
variants	Q1815560 [calzone]
variants	Q7132009 [Panzarotti]
sold to	Q181490 [Teri Hatcher]
see also	Q7694450 [Teenage Mutant Ninja Turtles food tie-ins]
see also	Q48767364 [stuffed crust pizza]
see also	Q48767667 [pan pizza]
see also	Q25099232 [Thin-crust pizza]
see also	Q5365447 [Ellio's Pizza]
see also	Q3920082 [Paradise, Hawaiian Style]
see also	Q7502907 [ShowBiz Pizza Place]
see also	Q44463244 [Ibuprofen and acetaminophen: effect on muscle inflammation after eccentric exercise.]
see also	Q10544598 [Kebabpizza Slivovitza]
see also	Q6134929 [Shakey's Pizza]
see also	Q500445 [Neapolitan pizza]
